X,Y,OBJECTID,TREEID,SITE_NAME,SPECIES,BOTANICAL,OWNER,TYPE,AGE,SPREAD,HEIGHT,TRUNK,LOCATION
-1.034331482500372,54.030342392630331,26710,S01779,"Ox Carr Lane, Strensall, York",Oak,Quercus robur,Highways,Single tree,0,18.00,20.00,0,2 Whin Close
-1.089964927152025,53.969114158830934,26711,TPO25-T9,"Burton Croft, (Burton Stone Lane) York",Sycamore,Acer Pseudoplatanus,Private,Single tree,0,.00,.00,0,Sycamore
-1.106764168767349,53.976350583959309,26712,46/67-T21,"Shipton Road, Clifton",Sycamore,Acer Pseudoplatanus,Private,Single tree,0,.00,.00,0,Sycamore
-1.143461786851881,53.914952543070967,26713,2/1972-T1,"9 Station Road/25 Main Street, Copmanthorpe",Sycamore,Acer Pseudoplatanus,Private,Single tree,0,.00,.00,0,Sycamore
-1.110330741863587,53.934191152184319,26714,CYC282-T3,"ast frontages of Aldersyde Court, Tadcaster Road D",Horse Chestnut,Aesculus Hippocastanum,Private,Single tree,0,.00,.00,0,Chestnut
-1.120764924353883,53.964660167422494,26715,CYC106-T19,"Boroughbridge Road,, York",Beech,Fagus Sylvatica,Private,Single tree,0,.00,.00,0,Beech
-1.122305298903177,53.965354600098259,26716,CYC106-T35,"Boroughbridge Road,, York",Whitebeam,Sorbus Aria,Private,Single tree,0,.00,.00,0,Whitebeam
-0.967859384970886,53.893040016870046,26717,1/1988-T3,"Main Street/Back Lane South, Wheldrake",Sycamore,Acer Pseudoplatanus,Private,Single tree,0,.00,.00,0,Sycamore
-1.131245625581397,53.970893921582089,26718,CYC283-T30,"Manor School (old site) Low Poppleton Lane, York",Horse Chestnut,Aesculus Hippocastanum,Private,Single tree,0,.00,.00,0,Horse Chestnut
-1.109066411534196,53.977796938516548,26719,46/67-T38,"Shipton Road, Clifton",Sycamore,Acer Pseudoplatanus,Private,Single tree,0,.00,.00,0,Sycamore
-1.133713830520379,53.937894801267845,26720,TPO26-T13,"South of Walker Drive, Foxwood", , ,Private,Single tree,0,.00,.00,0, 
-1.136669837632611,53.942973268287261,26721,U01581,"Foresters Walk, York",Sycamore,Acer Pseudoplatanus,Highways,Single tree,0,4.00,6.00,0,23
-1.076222503503651,53.965263166713918,26722,CYC353-T10,Penleys Grove Street,Lime,Tilia X Europaea,Social Services,Single tree,0,.00,.00,0,Lime
-1.126891547866167,53.955991180057062,26723,CYC294-T1,"1 Church View, York Road, Acomb, YO24",Sycamore,Acer Pseudoplatanus,Private,Single tree,0,.00,.00,0,Sycamore
-1.131295098519266,53.970714497836717,26724,CYC283-T27,"Manor School (old site) Low Poppleton Lane, York",Horse Chestnut,Aesculus Hippocastanum,Private,Single tree,0,.00,.00,0,Horse Chestnut
-1.129582046827163,53.968778439216898,26725,CYC283-T1,"Manor School (old site) Low Poppleton Lane, York",Sweet Chestnut,Castanea Sativa,Private,Single tree,0,.00,.00,0,Sweet Chestnut
-1.096493512437892,53.92102661087177,26726,2/1971-T5,"Social Club, Bishopthorpe",Horse Chestnut,Aesculus Hippocastanum,Private,Single tree,0,.00,.00,0,Horse Chestnut Replacement
-1.07265854249507,53.94515164062117,26727,TPO33-T20,Hospital Fields Road,Sycamore,Acer Pseudoplatanus,Private,Single tree,0,.00,.00,0,Sycamore
-1.12889694612354,53.940215114036683,26728,TPO26-T77,"South of Walker Drive, Foxwood",Oak,Quercus robur,Private,Single tree,0,.00,.00,0,Oak
-1.127890532838942,53.968739206806426,26729,TPO23-T17,"33 Millgates, Acomb YO2  6AT",Horse Chestnut,Aesculus Hippocastanum,Private,Single tree,0,.00,.00,0,Horse Chestnut
-1.075702514031661,53.990785881604047,26730,cyc71-T1,"JRHT- Mr S Hudson, 7 & 8 Lime Tree Avenu, New Ears",Ash,Fraxinus Excelsior,Private,Single tree,0,.00,.00,0,Ash
-1.133914571565881,53.970859253854627,26731,CYC99-T3,"Civil Service Club Grounds, Westview Clo, York Non",Sycamore,Acer Pseudoplatanus,Private,Single tree,0,.00,.00,0,Sycamore
-1.096270394519644,53.951093632276908,26732,CYC130-T6,"1,3,4,5,6 & 7  Driffield Terrace",Sycamore,Acer Pseudoplatanus,Private,Single tree,0,.00,.00,0,Sycamore
-1.129425510053032,53.999690657683757,26733,1980/27-T6,"Fairfields Lane, Skelton",Ash,Fraxinus Excelsior,Private,Single tree,0,.00,.00,0,Ash
-0.936120162807301,53.923299663020302,26734,CYC104-T2,"Derwent Close, Whitehouse Grove, York Road, Elving",Oak,Quercus robur,Private,Single tree,0,.00,.00,0,Oak
-1.053021953460956,53.998425424923056,26735,49/67-T11,"9A - 23 North Lane, Huntington",Sycamore,Acer Pseudoplatanus,Private,Single tree,0,.00,.00,0,Sycamore
-1.072639319960425,53.945331275279742,26736,TPO33-T15,Hospital Fields Road,Lime,Tilia X Europaea,Private,Single tree,0,.00,.00,0,Lime
-1.030291861550777,53.95394112050856,26737,1978/9-T4,"Hull Road, Osbaldwick",Sycamore,Acer Pseudoplatanus,Private,Single tree,0,.00,.00,0,Sycamore
-1.094250802471531,53.898698552502836,26738,5/1976-T11,"Naburn Hall, Naburn",Sycamore,Acer Pseudoplatanus,Private,Single tree,0,.00,.00,0,Sycamore
-1.131427762668688,53.95260245180053,26739,CYC138-T4,"Westfield Farm  Askham Lane, York",Horse Chestnut,Aesculus Hippocastanum,Private,Single tree,0,.00,.00,0,Horse Chestnut
-1.053252454115685,54.007402751073492,26740,CYC155-T3,"Occupiers, Corner Garth, 2 Earswick Village, York,",Ash,Fraxinus Excelsior,Private,Single tree,0,.00,.00,0,Ash
-1.073500975477121,53.937391508709055,26741,3/1977-T22,"2 Fulford Park, Fulford",Holly,Ilex Aquifolium,Private,Single tree,0,.00,.00,0,Holly
-1.136984750562772,53.943794169168129,26742,U01564,"Otterwood Lane, York",Norway Maple,Acer Platanoides,Highways,Single tree,0,8.00,10.00,0,23
-1.072992134348983,53.937666246745366,26743,3/1977-T36,"2 Fulford Park, Fulford",Horse Chestnut,Aesculus Hippocastanum,Private,Single tree,0,.00,.00,0,Chesnut
-1.091400383877052,53.970410463626109,26744,TPO48-T5,"57/59 Abbey Street, Clifton",Cypress,Cuppressus,Private,Single tree,0,.00,.00,0,Cypress
-1.185437598436219,53.923757295789862,26745,3/1975-T36,Askham Richard,Ash,Fraxinus Excelsior,Private,Single tree,0,.00,.00,0,Ash
-1.111115151893873,53.978980690086082,26746,46/67-T50,"Shipton Road, Clifton",Lombardy Poplar,Populus Nigra 'italica',Private,Single tree,0,.00,.00,0,Lombardy Poplar
-1.153050300914639,53.986609623883155,26747,1/1970-T28,Nether & Upper Poppleton,Lime,Tilia X Europaea,Private,Single tree,0,.00,.00,0,Lime
-1.030306265498391,53.953977193468802,26748,1978/9-T3,"Hull Road, Osbaldwick",Sycamore,Acer Pseudoplatanus,Private,Single tree,0,.00,.00,0,Sycamore
-1.040742053215272,53.951334739930068,26749,CYC335-T5,"Sails Drive, York TPO",Silver Birch,Betula Pendula,Private,Single tree,0,5.00,.00,0,24 Sails Drive rear garden
-1.043507661823198,53.945866925160345,26750,CYC116-T8,"4 Main Street, Heslington, York,",Lime,Tilia X Europaea,Private,Single tree,0,.00,.00,0,Lime
-1.146171010308171,53.98811605052083,26751,1/1970-T39,Nether & Upper Poppleton,Silver Birch,Betula Pendula,Private,Single tree,0,.00,.00,0,Birch
-1.087573722451227,53.885901282323069,26752,cyc46-T34,"Bell Hall, Naburn",Oak,Quercus robur,Private,Single tree,0,.00,.00,0,Oak
-1.130617670654241,53.938061203016609,26753,TPO26-T40,"South of Walker Drive, Foxwood",Oak,Quercus robur,Private,Single tree,0,.00,.00,0,Oak
-1.106868224641231,53.940107275502321,26754,CYC225-T4,"24, 25 & 26 St Helen’s Road",Damson,Prunus Domestica Insititia,Private,Single tree,0,.00,.00,0,Bullace
-1.058133329793809,53.976419722650135,26755,cyc59-T2,"7 Sefton Avenue, Heworth, York,",Beech,Fagus Sylvatica,Private,Single tree,0,.00,.00,0,Beech
-1.127127991635264,53.969479763184566,26756,TPO23-T3,"33 Millgates, Acomb YO2  6AT",Prunus (purple),Prunus,Private,Single tree,0,.00,.00,0,Prunus (purple)
-1.103709466166994,53.94815598645198,26757,cyc10-T3,"26/28 Whitehouse Dale, York",Cherry,Cherry,Private,Single tree,0,.00,.00,0,Cherry
